PassageID,StreamName,TributaryTo,PassageName,PassageType,PassageStatus,Protocol,AssessedBy,County,WatershedHUC4,Point_X,Point_Y,BegFt,SiteComments
3812,Butte Creek,Sacramento River,Vertical pump near McPherrin Dam,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Butte,Butte Creek,-121.873639,39.44683,113886,
3813,Butte Creek,Sacramento River,Vertical pump near McPherrin Dam,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Butte,Butte Creek,-121.8736394,39.44683054,114009,CDFW 1998 survey: vertical pump with horsepower of 60 located on the left bank. Water is discharged to concrete distribution box and operates for agricultural and fish and wildlife enhancement purposes. located at mcpherrin dam; same dist. box as u070718b & c
27827,South Fork Mokelumne River,Mokelumne River,Bouldin Island,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,Upper Mokelumne,-121.5352965,38.11918665,34752,SAME SITE AS D022316J; DELTA RESURVEY FEB2005
27828,South Fork Mokelumne River,Mokelumne River,Bouldin Island,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,Upper Mokelumne,-121.5619111,38.12862627,24026,
3811,Butte Creek,Sacramento River,vertical pump (abandoned),Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Butte,Butte Creek,-121.8701263,39.46377473,122162,CDFW 1998 survey: 1 vertical pump located on the left bank. Intake size is 14 inches and operates for agricultural and fish and wildlife enhancement purposes. next to highway 162 bridge 
3816,Butte Creek,Sacramento River,Ca Dept Of Fish & Game slant pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Glenn,Butte Creek,-121.8816625,39.41544213,99602,"CDFW 1998 survey: 1 slant pump with horsepower of 50 located on the left bank. Intake size is 20 inches, water is discharged to earth ditch and operates for fish and wildlife enhancement purposes. Diverts up to 35 cfs. Same location as u070818b."
3817,Butte Creek,Sacramento River,Ca Dept Of Fish & Game slant pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Glenn,Butte Creek,-121.8816675,39.41544213,99594,"CDFW 1998 survey: 1 slant pump with horsepower of 50 located on the left bank. Intake size is 20 inches, water is discharged to earth ditch and operates for fish and wildlife enhancement purposes. Same location as u070818a."
3814,Butte Creek,Sacramento River,Vertical pump near McPherrin Dam,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Butte,Butte Creek,-121.8734794,39.44710831,114018,CDFW 1998 survey: vertical pump with horsepower of 40 located on the left bank. Water is discharged to concrete distribution box and operates for agricultural and fish and wildlife enhancement purposes. same location as u070718c; same dist. box as u070718a & c metal racks with ~ 2-3 inch spacing
3815,Butte Creek,Sacramento River,Charles Schwab vertical pump,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,Glenn,Butte Creek,-121.8815425,39.4187754,100902,"CDFW 1998 survey: 1 vertical pump with horsepower of 100 located on the right bank. Intake size is 25 inches, water is discharged to earth ditch and operates for agricultural purposes. Diverts up to 2 cfs."
27821,Potato Slough,San Joaquin River,Bouldin Island,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.51757,38.087419,18588,Delta Resurvey Feb2005
27822,South Fork Mokelumne River,Mokelumne River,Bouldin Island,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,Upper Mokelumne,-121.5441096,38.11710047,32297,SAME SITE AS D022316L; DELTA RESURVEY FEB2005
401104,Sacramento River,Suisun Bay,Colusa Indian Community Council (CICC) Compton Diversion,Diversion (screened/unscreened),Screened,Professional Judgement,Family Water Alliance,Colusa,Sacramento-Stone Corral,-122.0322296,39.339887,0,"Screened to 22.23 cfs in October 2015 and funded by USFWS AFSP. New self-cleaning cone fish screens were placed at the existing intake channel to the pump station and connecting to the existing slant pumping plant via an underground pipeline. This site will be monitored through 2017 to ensure it performs as designed. CDFW 1993 survey: 2 stant pumps with horsepower of 100 located on the right bank. Intake size is unknown, water is discharged to concrete box and operates for agricultural purposes."
27819,Columbia Cut,Middle River,Mcdonald Island,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.508762,38.02381,11202,Delta Resurvey Feb2005
27820,Columbia Cut,Middle River,Mcdonald Island,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.510527,38.023255,11785,Delta Resurvey Feb2005
27825,South Fork Mokelumne River,Mokelumne River,Bouldin Island,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,Upper Mokelumne,-121.5292556,38.12135221,34812,NEXT TO D022316F; DELTA RESURVEY FEB2005
27826,South Fork Mokelumne River,Mokelumne River,Bouldin Island,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,Upper Mokelumne,-121.5292556,38.12135221,36670,NEXT TO D022316G; DELTA RESURVEY FEB2005
27823,South Fork Mokelumne River,Mokelumne River,Bouldin Island,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,Upper Mokelumne,-121.5440255,38.11711509,32353,SAME SITE AS D022316M; DELTA RESURVEY FEB2005
27824,South Fork Mokelumne River,Mokelumne River,Bouldin Island,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,Upper Mokelumne,-121.5352965,38.11918665,34791,SAME SITE AS D022316K; DELTA RESURVEY FEB2005
27816,Connection Slough,Old River,Mandeville Island,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.536644,38.006311,5465,Next To R051821c; Delta Resurvey Feb2005
27864,Connection Slough,Old River,Mandeville Island,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.550201,38.010477,1227,Delta Resurvey Feb2005
27865,Potato Slough,San Joaquin River,"VENICE ISLAND, P. DINNAPOLI",Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.503973,38.071031,25829,Delta Resurvey Feb2005
27862,Mandeville Reach,San Joaquin River,Mandeville Island,Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.536321,38.054087,770,At Dock; Delta Resurvey Feb2005
27863,Old River,San Joaquin River,Quimby Island,Diversion (screened/unscreened),Screened,Professional Judgement,California Department of Fish and Wildlife,Contra Costa,San Joaquin Delta,-121.571531,38.039365,35886,DELTA RESURVEY FEB2005. Before: Unscreened diversion per field survey by CDFG.
27866,Potato Slough,San Joaquin River,"VENICE ISLAND, P. DINNAPOLI",Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.504076,38.071031,25799,Delta Resurvey Feb2005
27867,Potato Slough,San Joaquin River,"VENICE ISLAND, P. DINNAPOLI",Diversion (screened/unscreened),Unscreened,Field Survey,California Department of Fish and Wildlife,San Joaquin,San Joaquin Delta,-121.504573,38.071309,25654,Delta Resurvey Feb2005
