"Golden Gate","Richmond Bridge","Carquinez Bridge","Benicia Bridge","Decker_IsS","ThreeMile","SR_RioVista","SR_Mouth","SR_SteamboatSl","Georg_SloughN","SR_DCC","SR_BlwSteam","SR_SutterSl","SR_Freeport","UpRiver"
0,0,4.5,5.5,11.5,0.333333333333333,5.83333333333333,1,1.33333333333333,0,0.333333333333333,0.333333333333333,1,1.33333333333333,6
0,0,5.5,6.5,7.5,1.33333333333333,6,0,3.16666666666667,0,0,0,0,0,0
0,0,7.5,5.83333333333333,3.03333333333333,1,3.53333333333333,0.2,0.7,0,0.2,0.5,1,1.5,9
0,62,13,14,0,0,0,0,0,0,0,0,0,0,0
0,108.833333333333,9.33333333333333,6.83333333333333,2.25,1,3.75,2.75,5,0.25,1.5,0.25,1,33.25,11
0,121.833333333333,9.83333333333333,12.3333333333333,4,0,3,0,3,0,0,0,0,0,0
0,101.5,11.5,12,4.33333333333333,0,2.66666666666667,1.83333333333333,8.16666666666667,0.333333333333333,0.666666666666667,3.16666666666667,0,4.83333333333333,10
0,108,14,11,0.333333333333333,0,1.16666666666667,1.33333333333333,5.16666666666667,0.5,0.5,0.5,1,5.5,10
0,0,5,4.5,4.33333333333333,0,5.16666666666667,0.333333333333333,3.66666666666667,0,0.333333333333333,0.333333333333333,1,2.33333333333333,4
0,14,8.5,8.5,3.5,0,3,0,0.5,0,0,0,0,0,0
0,37,3.5,6.5,7.16666666666667,0,6.16666666666667,0,1.66666666666667,0,0,0,0,0,0
0,44.8333333333333,7.83333333333333,10.3333333333333,2.5,0,1.5,0,0,0,0,0,0,0,0
0,33.3333333333333,11.8333333333333,12.8333333333333,5,1,5,0,3,0,0,0,0,0,0
0,19.8333333333333,10.3333333333333,10.3333333333333,9,0,5.5,0,1,0.333333333333333,0.333333333333333,0.333333333333333,2,1.5,1.5
0,0,0,2,14.5,0,18,1.5,13,0,0,0,0,0,0
6,4.5,34,11.5,13,0,4.33333333333333,1,5.66666666666667,0,1.33333333333333,2,0,4.66666666666667,11
3.5,25.8333333333333,3.83333333333333,3.83333333333333,8,0,29.5,0,23.5,0,0,0,0,0,0
