"GeneralArea","RiverKm","Lat","Lon","displayName"
"Golden Gate",1.27747826086957,37.8231010559006,-122.465511180124,"Golden Gate"
"Richmond Bridge",14.716,37.9361167626374,-122.444061248038,"Richmond Bridge"
"Carquinez Bridge",41.471,38.0609112108642,-122.225350446914,"Carquinez Bridge"
"Benicia Bridge",51.69,38.0402952692576,-122.123180848908,"Benicia Bridge"
"Decker_IsS",86.326,38.0798848648649,-121.758060421622,"Decker Island"
"ThreeMile",95.2935862068965,38.1068839667241,-121.688896551724,"Three Mile Slough"
"SR_RioVista",97.611,38.1581182339048,-121.682736361905,"Rio Vista"
"SR_Mouth",102.328,38.1736034666667,-121.648100044444,"River Mouth"
"SR_SteamboatSl",106.731227272727,38.2186473237879,-121.632286571212,"Steamboat Slough"
"Georg_SloughN",136.499833333333,38.2361120833333,-121.517955291667,"Georgiana Slough"
"SR_DCC",137.064022222222,38.2419563888889,-121.514697611111,"Delta Cross Channel"
"SR_BlwSteam",145.574,38.29931075225,-121.5693824775,"Steamboat Marina 1"
"Steam_Marina",145.782580645161,38.3012903225806,-121.579811612903,"Steamboat Marina 2"
"SR_SutterSl",149.158,38.3311812962963,-121.581340555556,"Sutter Slough"
"SR_Freeport",168.5,38.4556536256522,-121.502017391304,"Freeport"
"UpRiver",317.605953020134,38.783,-121.63,"Up River"
